Date,GV6_0025,IGN-GV6_0006
2021-09-06T22:19:43.000Z,30.3,
2021-09-06T22:29:43.000Z,30.3,
2021-09-06T22:39:43.000Z,30.2,
2021-09-06T22:49:43.000Z,30.2,
2021-09-06T22:59:43.000Z,30.1,
2021-09-06T23:09:43.000Z,30.1,
2021-09-06T23:19:43.000Z,30.1,
2021-09-06T23:29:43.000Z,30,
2021-09-06T23:39:43.000Z,29.9,
2021-09-06T23:49:43.000Z,29.8,
2021-09-06T23:59:43.000Z,29.8,
2021-09-07T00:09:43.000Z,29.7,
2021-09-07T00:19:43.000Z,29.7,
2021-09-07T00:29:43.000Z,29.6,
2021-09-07T00:39:43.000Z,29.6,
2021-09-07T00:49:43.000Z,29.5,
2021-09-07T00:59:43.000Z,29.5,
2021-09-07T01:09:43.000Z,29.4,
